SOURCE	UEN	CLUSTER_DEFN	OR_CAT	EMP_SIZE	REF_YR	Age_Band	SSIC	WEBSITE
ORBIS	7a279b4b0bf1d9b8a65b8f7bf3db7b7c79b9d580dce812fa03042f0633f9bd67	18 Real Estate	03. 1mil -<= 10mil	01. Employees <= 10	2023	05. > 30 Years	68101.0	www.bukittimahshoppingcentre.sg
ORBIS	65e6abec66865062801dbeb42a68c3bb1c5eece0af25716891faa7da4747e586	19 Professional Services	01. <=1mil	Missing EMP	2023	01. <= 5 Years	74902.0	www.asialicense.com
ORBIS	a295c4c03447c24537bb797b3a3308e3b09289b90d5777cf1e41266efbb34db9	02 Construction	01. <=1mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	43301.0	www.bca.gov.sg/bcadirectory/company/details/200908829c
ORBIS	4d008e2382d5185ae2587b725e63586bcf67dbdd5f0223bdfbb0e1863f36583c	20 Administrative & Support Services	01. <=1mil	Missing EMP	2023	01. <= 5 Years	82303.0	sambill-park.com/index.html
ORBIS	02a0298323ca1a709e2e8f1cc9bd9e7c2636b007012d7468a87a86dc94227746	20 Administrative & Support Services	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	82303.0	www.jabezwerkz.sg/contact-us
ORBIS	fb714a9798d1baea42cf2d2eb87f28fc4bdfc7c262403c566ebb32eff142935a	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	46544.0	powergenbatteries.com.sg
ORBIS	705322ed9956a44818d9bd49b940920ac04d87cd370f252c99b3d30ae4c89d3e	21 Other Services Industries	01. <=1mil	Missing EMP	2023	04. 20 to <= 3	85407.0	edu-sg.org
SGNIC	657302fc9c0ea1fa9300c71c6c9b36944dfc0cb6e6c714593c75cf5275e0c09a	02 Construction	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	43210.0	MSG.SG
ORBIS	d785862f784b010037a15822856ea135f34f1a2bdf35819ea2ac0d872d2b8777	01 Manufacturing	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	26511.0	sparkycontrol.com
ORBIS	2ea4d88d8eed28d5054fba35e21b97a951a888fcad38469a220494681af936e1	19 Professional Services	01. <=1mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	74192.0	www.visualtech.com.sg
ORBIS	20f8f9b0e5fe7533e8e322d1b3bee2c2006fc19b63e61c2038a2617450a4235e	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	71112.0	www.tinderbox.com.sg
ORBIS	f6dd6d1fa59a865fe7cda76fa359ce7c65559c8b32a3fa748276df0300ab36bb	13 Transportation & Storage	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	52292.0	www.pandalognyc.com
ORBIS	56769983feaf0f4d93d7d552942594bec64fe506e8569c06e8a77c19f125e8aa	11 Wholesale	08. Above 100mil	03. 50 < Employees <= 200	2023	03. 10 to <= 2	46424.0	www.prestigesmartkitchen.com
ORBIS	9f63cbc9ab627d0274ac848b9c089c6befedbc673a42bec1bed251ef5fba3cb1	20 Administrative & Support Services	03. 1mil -<= 10mil	03. 50 < Employees <= 200	2023	03. 10 to <= 2	80100.0	www.vigilantech.net
ORBIS	7f80e1242fad0b81e8de25b75ad39a90a556bbfd60d119844a6e458c9c3840cf	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	96022.0	crystalbeautycare.com
SGNIC	f1d2d66920fae09ed7cb8e5db1ddb044fd86bafc5969b77799946300d8e19d33	19 Professional Services	01. <=1mil	Missing EMP	2023	04. 20 to <= 3	73100.0	MANDARINAD.COM.SG
SGNIC	378705c3207c16803ac1d15c48c50122bd4a6886fc3b6182f71ed3baf05db8c7	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	74191.0	wysidpl.com
ORBIS	6e23ed068b843cb5dbddd005f6ab009096e5f4a9c9c7180dc59af47ee3d2ebbd	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	46422.0	www.yajjewelex.com
ORBIS	2080b8a30e83b71e7f228e07783a0d964ebf5a1a9ca2829024df90b66438fa92	02 Construction	06. 10mil -<= 100mil	03. 50 < Employees <= 200	2023	05. > 30 Years	41009.0	lincotrade.com.sg
ORBIS	c8af7f78a9584748d18398825e121fcd1ad3c81acf0be52ba1b592c0f96123d9	21 Other Services Industries	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	85409.0	www.souloasisspa.com
ORBIS	8c8273725bde8837d55e9fab4099fccc584da4e415e9557af9aed7ab554c4c38	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	05. > 30 Years	94110.0	www.smcci.org.sg
GMAP	079672a749058a7643fc9ebe295b3416ea61a74ad852c39d5855c5aa8ab4ea1c	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	70201.0	http://www.dragonheartfengshui.com/
SGNIC	309a8e370277348966f3db1c38aafc75ab4192b38f4cc5ed53957b0a94fc80fa	13 Transportation & Storage	01. <=1mil	Missing EMP	2023	01. <= 5 Years	53200.0	JCMOVERS.COM.SG
GMAP	65b00164155b74882981feddd845d100146abe1175fa3db9380d2a8f0d6b6b28	21 Other Services Industries	01. <=1mil	Missing EMP	2023	01. <= 5 Years	85409.0	wmc.app/
SGNIC	148eb61c5679c95edcd301847cad9dc7cbf8158e1fe52bf82dfdf6584f8e7843	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	86201.0	REFLECTIONSAESTHETIC.COM.SG
ORBIS	96d642da6c6192010d1aa10d0b446f0f4796d61fe3537ae2af85ca64a0129185	19 Professional Services	03. 1mil -<= 10mil	Missing EMP	2023	05. > 30 Years	70209.0	www.berken.sg
SGNIC	0684b9cd629e7226c13aa3bb7eed4aef29bf65b6a029a03f8ce49fb3a3d349a9	13 Transportation & Storage	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	53200.0	FIVEGG.COM.SG
ORBIS	0902ab45c6b6a5e3c8680113e96fd538dafb1fb1d49e796567856896d58d9b59	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	05. > 30 Years	46610.0	www.ipg.com.kw
ORBIS	2164a365b8cdd13169076d8f4ffd79e424b7f8407bc28397a58e2ffedeedf489	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	04. 20 to <= 3	46610.0	tiongaik.com.sg
SGNIC	1bf8261cc3e761a0eab1e96a9301239109556c1ddd7730c7426dcfb2ac6d5fc7	12 Retail Trade	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	47536.0	HERITAGESTRINGS.SG
GMAP	da1495516ef06e822a16e0756de7225ee5e461011dc51f358052283b6c778959	12 Retail Trade	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	47731.0	www.artisanjewellery.co/
